main_indicator;indicator;sub_indicator;alias
Ekonomi;PDB/PDRB;Distribusi Persentase PDB/PDRB ;['distribusi persentase PDB', 'distribusi persentase PDRB', 'distribusi PDB', 'distribusi PDRB']
Ekonomi;PDB/PDRB;PDB/PDRB per Kapita ;['PDB per kapita', 'PDRB per kapita']
Ekonomi;PDB/PDRB;Rasio Modal-Output Marginal ;['rasio modal-output marginal', 'ICOR']
Ekonomi;PDB/PDRB;Rasio Tenaga Kerja-Output Marginal;['rasio tenaga kerja-output marginal', 'ILOR']
Ekonomi;Pertumbuhan Produksi Industri;Pertumbuhan Produksi Industri Pengolahan ;['pertumbuhan produksi industri pengolahan', 'pertumbuhan produksi industri', 'PPI', 'Industri Kecil Menengah (IKM)', 'industri kecil menengah', 'IKM', 'Industri Besar Sedang (IBS)', 'industri besar sedang', 'IBS']
Ekonomi;Pertumbuhan Produksi Industri;Indeks Produksi Industri Pengolahan ;['indeks produksi industri pengolahan']
Sosial;Pendidikan;Angka Melek Huruf (AMH) ;['Angka Melek Huruf (AMH)', 'angka melek huruf','AMH']
Sosial;Pendidikan;Angka Partisipasi Kasar (APK) ;['Angka Partisipasi Kasar (APK)', 'angka partisipasi kasar','APK']
Sosial;Pendidikan;Angka Partisipasi Murni (APM) ;['Angka Partisipasi Murni (APM)', 'angka partisipasi murni','APM']
Sosial;Pendidikan;Angka Partisipasi Sekolah (APS) ;['Angka Partisipasi Sekolah (APS)', 'angka partisipasi sekolah','APS']
Sosial;Pendidikan;Rata-Rata Lama Sekolah ;['rata-rata lama sekolah', 'tingkat pendidikan']
Sosial;Pendidikan;Angka Putus Sekolah ;['angka putus sekolah']
Sosial;Pendidikan;Rasio Murid-Guru ;['rasio murid-guru']
Sosial;Pendidikan;Pengeluaran Publik masuk Pendidikan sebagai Persentase dari Total Belanja Pemerintah;['pengeluaran publik masuk pendidikan sebagai persentase dari total belanja pemerintah']
Sosial;Kesehatan;Persentase Balita yang Ditolong Penolong Kelahiran ;['persentase balita yang ditolong penolong kelahiran', 'persentase bayi lahir ditolong nakes', 'persentase bayi lahir ditolong non-nakes']
Sosial;Kesehatan;Cakupan Imunisasi ;['cakupan imunisasi']
Sosial;Kesehatan;Persentase Balita yang Sudah Diimunisasi Lengkap ;['persentase balita yang sudah diimunisasi lengkap']
Sosial;Kesehatan;Persentase Penduduk Sakit dengan Pengobatan sendiri ;['persentase penduduk sakit dengan pengobatan sendiri']
Sosial;Kesehatan;Persentase Penduduk Sakit yang Konsultasi ke Tenaga Medis;['persentase penduduk sakit yang konsultasi ke tenaga medis']
Sosial;Kesehatan;Persentase Penduduk Sakit yang Menjalani Rawat Inap di RS/Klinik yang Menyediakan Tenaga Medis;['persentase penduduk sakit yang menjalani rawat inap di RS/klinik yang menyediakan tenaga medis', 'persentase penduduk sakit yang menjalani rawat inap di rumah sakit yang menyediakan tenaga medis', 'persentase penduduk sakit yang menjalani rawat inap di RS yang menyediakan tenaga medis', 'persentase penduduk sakit yang menjalani rawat inap di klinik yang menyediakan tenaga medis']
Sosial;Fertilitas;Rata-Rata Jumlah Anak yang Pernah Dilahirkan/Paritas ;['rata-rata jumlah anak yang pernah dilahirkan/paritas']
Sosial;Fertilitas;Anak Lahir Hidup (ALH) ;['Anak Lahir Hidup (ALH)', 'anak lahir hidup','ALH']
Sosial;Fertilitas;Anak Masih Hidup (AMH) ;['Anak Masih Hidup (AMH)', 'anak masih hidup','AMH']
Sosial;Fertilitas;Angka Kelahiran Kasar ;['angka kelahiran kasar', 'CBR']
Sosial;Fertilitas;Angka Kelahiran Menurut Umur ;['angka kelahiran menurut umur', 'ASFR']
Sosial;Fertilitas;Angka Kelahiran Total ;['angka kelahiran total', 'TFR']
Sosial;Fertilitas;Angka Kelahiran Umum ;['angka kelahiran umum', 'GFR']
Sosial;Fertilitas;Angka Reproduksi Neto ;['angka reproduksi neto', 'NRR']
Sosial;Fertilitas;Angka Reproduksi Kasar ;['angka reproduksi kasar', 'GRR']
Sosial;Fertilitas;Rasio Anak-Ibu ;['rasio anak-ibu']
Sosial;Fertilitas;Umur Kawin Pertama (UKP) ;['Umur Kawin Pertama (UKP)', 'umur kawin pertama','UKP']
Sosial;Fertilitas;Angka Prevalensi Pemakaian Kontrasepsi ;['angka prevalensi pemakaian kontrasepsi']
Sosial;Fertilitas;Persentase Pemakai Suatu Cara KB Menurut Alat/Cara KB ;[ 'persentase pemakai suatu cara KB menurut alat/cara KB', 'PUS memakai alat/cara KB']
Sosial;Fertilitas;Persentase Pernah Pakai KB;['persentase pernah pakai KB', 'persentase PUS yang pernah memakai suatu cara KB']
Sosial;Mortalitas;Angka Kematian Anak (AKA) ;['Angka Kematian Anak (AKA)', 'angka kematian anak','AKA']
